,일자,종로구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,중구,양천구,중랑구,노원구,광진구,강북구,금천구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구
191,2023-07-11,5,3,3,3,4,3,2,12,7,9,5,1,6,7,4,3,5,3,2,3,10,0,2,1,2
192,2023-07-12,3,2,2,8,2,1,3,17,3,8,6,3,5,3,6,1,1,2,2,3,5,1,3,9,1
193,2023-07-13,4,1,7,5,5,6,5,12,3,10,7,4,1,3,0,3,1,4,5,6,3,2,2,4,5
194,2023-07-14,1,8,1,3,6,1,4,9,6,5,6,4,5,3,2,1,5,0,1,2,3,7,2,1,3
195,2023-07-15,3,5,5,5,1,5,2,10,1,4,5,0,1,4,4,4,0,0,2,4,4,7,4,3,0
196,2023-07-16,3,3,6,5,4,1,2,4,2,5,3,0,0,2,1,0,0,3,3,0,1,0,0,3,1
197,2023-07-17,2,2,8,2,8,3,3,12,1,7,7,3,1,3,3,3,2,2,3,5,9,3,0,2,1
198,2023-07-18,0,3,3,5,9,6,3,21,4,7,9,5,8,4,1,1,6,1,0,4,3,4,1,0,3
199,2023-07-19,1,3,2,5,3,0,2,15,2,8,10,1,4,4,2,3,4,2,3,2,6,3,3,3,3
200,2023-07-20,6,6,4,3,4,5,0,9,6,5,8,3,2,2,4,2,0,2,2,2,5,6,1,3,4
201,2023-07-21,2,5,1,5,5,7,3,12,2,9,5,1,6,3,3,3,2,2,5,2,6,4,2,0,3
202,2023-07-22,6,3,8,5,2,3,1,6,5,5,3,1,4,1,2,2,2,2,2,1,5,5,3,3,5
203,2023-07-23,0,3,3,5,7,2,1,8,2,4,5,1,6,1,5,2,4,1,2,0,3,1,3,3,1
204,2023-07-24,2,7,5,5,4,2,1,7,4,9,7,3,4,3,3,1,3,1,1,1,3,4,3,5,3
205,2023-07-25,3,1,4,7,5,2,3,17,2,7,10,5,4,3,3,1,2,3,6,2,3,3,0,4,3
206,2023-07-26,1,5,3,2,6,3,3,9,4,8,3,7,6,5,1,1,0,1,3,2,6,4,2,3,5
207,2023-07-27,5,2,5,5,3,4,1,12,6,8,8,1,3,1,7,2,1,3,6,2,4,2,0,5,3
208,2023-07-28,4,3,7,3,9,5,3,11,4,8,6,8,3,1,5,1,2,0,2,1,6,5,2,3,3
209,2023-07-29,4,4,4,3,5,4,0,9,1,7,8,2,5,3,1,2,3,2,2,7,1,4,2,1,1
210,2023-07-30,1,2,3,3,3,2,5,7,5,6,5,4,5,1,8,1,3,3,1,1,1,4,2,0,1
211,2023-07-31,5,5,4,3,5,3,1,4,1,3,3,0,1,6,4,1,4,5,2,0,5,3,2,1,1
212,2023-08-01,2,3,3,1,6,4,3,7,2,11,4,4,3,3,4,0,2,0,2,0,6,0,1,2,3
213,2023-08-02,3,4,7,3,3,2,1,9,2,6,3,2,4,9,1,3,3,5,5,3,3,2,2,3,1
214,2023-08-03,3,7,6,4,1,4,4,14,5,7,11,0,2,2,4,0,5,5,2,5,7,3,4,3,3
215,2023-08-04,3,1,4,4,11,2,8,13,0,12,11,1,6,5,5,2,1,1,3,3,9,3,1,2,3
216,2023-08-05,2,9,1,2,7,3,2,9,2,13,10,3,4,2,4,2,3,0,1,1,5,2,3,1,5
217,2023-08-06,3,5,1,1,2,2,5,6,3,0,1,1,1,1,2,3,3,1,3,4,3,4,1,2,1
218,2023-08-07,3,3,5,4,2,1,4,9,5,3,4,2,7,1,3,3,5,3,3,0,5,2,2,2,4
219,2023-08-08,5,3,5,4,9,3,4,13,3,8,7,2,5,4,7,2,4,4,5,4,3,0,0,5,2
220,2023-08-09,2,0,3,6,9,5,4,19,0,6,11,4,8,3,8,0,1,4,3,4,5,1,1,7,1
221,2023-08-10,3,5,4,3,4,3,4,12,2,8,7,3,2,5,1,1,4,4,3,4,6,2,1,3,2
222,2023-08-11,3,1,7,2,9,0,4,10,2,14,5,0,3,3,4,1,6,3,0,1,4,2,2,3,3
223,2023-08-12,2,5,3,3,3,4,5,11,0,11,2,0,2,9,3,0,3,3,3,3,2,7,3,2,3
224,2023-08-13,2,5,2,2,3,1,3,5,2,6,8,1,4,1,4,2,1,0,2,2,2,2,2,0,2
225,2023-08-14,5,3,6,2,2,3,2,9,1,10,5,2,8,5,1,4,3,2,5,4,6,3,1,0,3
